start	end	versus	chrom
3046173	3115402	right	chr1
3120839	3350833	left	chr1
3356648	3494666	right	chr1
3506278	3529442	left	chr1
3540470	3569332	left	chr1
3575132	3724795	right	chr1
3730188	3776728	left	chr1
3782016	4426044	right	chr1
4449417	4500904	left	chr1
4506466	4598807	right	chr1
4604233	4696432	left	chr1
4701991	4759604	right	chr1
4765481	4828509	left	chr1
4834663	4909376	right	chr1
4915161	5202496	left	chr1
5208018	5219781	right	chr1
5225650	5242980	left	chr1
5248616	5259940	right	chr1
5277421	5633972	left	chr1
5644931	5760207	right	chr1
5771869	5898387	left	chr1
5904054	6064731	right	chr1
6076440	6180001	left	chr1
6191517	6226143	right	chr1
6231811	6387112	left	chr1
6392840	6542101	right	chr1
6553521	6651360	left	chr1
6657201	6760738	right	chr1
6766205	6818173	left	chr1
6824100	6984790	right	chr1
6996630	7070983	left	chr1
7077006	7174689	right	chr1
7180669	7220815	left	chr1
7255097	7358913	right	chr1
7370363	7824337	left	chr1
7836120	7939428	right	chr1
7950835	8060059	left	chr1
8077349	8181116	right	chr1
8186921	8267398	left	chr1
8273039	8508518	right	chr1
8531886	8888274	left	chr1
8899458	8951345	right	chr1
8957302	9054835	left	chr1
9066522	9210004	right	chr1
9215712	9296412	left	chr1
9302417	9859993	right	chr1
9865813	9883067	left	chr1
9888537	9986543	right	chr1
9992320	10101288	left	chr1
10107159	10181734	right	chr1
10187591	10285343	left	chr1
10291153	10389058	right	chr1
10394673	10509629	left	chr1
10515657	10641762	right	chr1
10664885	10682310	left	chr1
10693705	10797093	right	chr1
10802875	11159347	left	chr1
11165245	11308767	right	chr1
11314425	11533233	left	chr1
11539124	11579040	right	chr1
11590659	11625273	left	chr1
11630949	11746082	right	chr1
11751478	11889780	left	chr1
11901302	11987411	right	chr1
11993038	12136763	left	chr1
12142921	12683231	right	chr1
12688676	12775405	left	chr1
12780765	13039646	right	chr1
13045319	13281288	left	chr1
13287011	13378830	right	chr1
13384705	13465267	left	chr1
13476667	13580036	right	chr1
13585712	13994392	left	chr1
